,acc_rating,amen_1,amen_10,amen_11,amen_12,amen_13,amen_14,amen_15,amen_16,amen_17,amen_18,amen_19,amen_2,amen_20,amen_21,amen_22,amen_23,amen_24,amen_25,amen_26,amen_27,amen_28,amen_29,amen_3,amen_30,amen_31,amen_32,amen_33,amen_34,amen_35,amen_36,amen_37,amen_38,amen_39,amen_4,amen_40,amen_41,amen_42,amen_43,amen_44,amen_45,amen_46,amen_47,amen_48,amen_49,amen_5,amen_50,amen_6,amen_7,amen_8,amen_9,bed_air,bed_couch,bed_futon,bed_real,bed_sofa,cancel_policy,checkin_rating,cleanliness_rating,communication_rating,dist_ferry,entire_home,guest_sat,host_other_rev_count,hosting_id,instant_book,is_apt,is_house,is_other,is_superhost,is_tent,is_townhouse,is_villa,lat,loc_rating,lon,num_bathrooms,num_bedrooms,num_beds,person_cap,pic_count,price,private_room,prop_type,review_count,review_score,saved_to_wishlist_count,shared_room,value_rating
5650515,10,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,5,10,10,9,0.09290529224033744,False,90,583,5650515,False,False,True,False,False,False,False,False,37.73591156729537,10,-122.46461440397232,3,1,1,1,14,33,True,House,44,90,750,False,10
5650515,10,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,5,10,10,9,0.09290529224033744,False,90,583,5650515,False,False,True,False,False,False,False,False,37.73591156729537,10,-122.46461440397232,3,1,1,1,14,33,True,House,44,90,750,False,10
5650515,10,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,5,10,10,9,0.09290529224033744,False,90,583,5650515,False,False,True,False,False,False,False,False,37.73591156729537,10,-122.46461440397232,3,1,1,1,14,33,True,House,44,90,750,False,10
16536186,10,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,3,10,10,9,0.09673321465042281,False,90,17,16536186,False,True,False,False,True,False,False,False,37.761223716963016,10,-122.48384919933142,1,2,1,2,7,41,True,Apartment,2,90,42,False,10
4654218,10,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,4,10,10,10,0.0803225818254829,False,98,46,4654218,False,False,True,False,True,False,False,False,37.72593023037014,9,-122.43337188134396,1.5,1,1,2,22,39,True,House,45,98,383,False,10
15026204,10,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,False,5,10,9,10,0.11242251124970114,False,96,20,15026204,False,True,False,False,False,False,False,False,37.71633417595662,10,-122.47313908417503,1,1,1,1,11,35,True,Apartment,6,96,51,False,10
11575586,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,4,10,10,10,0.07744094328837893,False,94,0,11575586,False,False,True,False,False,False,False,False,37.727124451015705,9,-122.42956445479908,1,1,1,1,5,40,True,House,37,94,237,False,10
11620,9,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,4,9,8,10,0.07914626697080361,False,92,191,11620,False,False,True,False,False,False,False,False,37.71793836944223,9,-122.4085793352181,1,1,1,1,19,35,True,House,44,92,89,False,9
16291030,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,3,,,,0.08124348189739004,False,,1,16291030,True,True,False,False,False,False,False,False,37.76051972027442,,-122.46670743183336,1,1,1,1,5,40,True,Apartment,0,,12,False,
5976428,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,5,9,8,9,0.060569734655830876,False,77,93,5976428,False,False,True,False,False,False,False,False,37.73528506705987,7,-122.38814498405837,1,1,1,2,5,39,True,House,63,77,366,False,8
15097577,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,5,9,9,9,0.10718233528706327,False,83,244,15097577,False,False,True,False,False,False,False,False,37.755457620657204,8,-122.49281100460813,1,1,1,1,15,39,True,House,12,83,36,False,8
2126868,9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,5,10,9,10,0.09405441577042234,False,92,542,2126868,False,False,True,False,False,False,False,False,37.733765804504934,9,-122.46429039724381,3,1,1,1,19,40,True,House,85,92,803,False,9
16348162,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,3,,,,0.09845800915744757,False,,0,16348162,False,False,True,False,False,False,False,False,37.76491224617005,,-122.48698486664543,1.5,1,1,1,7,40,True,House,0,,11,False,
14268636,10,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,4,10,10,10,0.08063322420571142,False,99,74,14268636,False,False,True,False,True,False,False,False,37.72477986719682,9,-122.4319483155021,1.5,1,2,2,19,42,True,House,17,99,105,False,10
8408841,,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,3,,,,0.012183908623045676,False,,0,8408841,False,False,False,True,False,False,False,False,37.79321770557117,,-122.40538312776411,0.5,1,1,1,17,22,True,Other,0,,42,False,
12203625,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,5,,,,0.07028689124480904,False,,64,12203625,True,False,True,False,False,False,False,False,37.78554866395385,,-122.46300015894728,1.5,1,1,1,12,45,True,House,0,,10,False,
6387137,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,5,9,8,10,0.05917973255222484,False,75,91,6387137,False,False,True,False,False,False,False,False,37.736553067071235,7,-122.38983570029777,1,1,1,2,4,39,True,House,65,75,368,False,8
13467547,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,4,,,,0.12056756113051766,False,,0,13467547,False,True,False,False,False,False,False,False,37.71592053043671,,-122.48390475673963,1,1,1,1,6,22,True,Apartment,0,,38,False,
16857004,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,3,,,,0.04617162294809868,False,,0,16857004,False,True,False,False,False,False,False,False,37.75328433021465,,-122.41185789807965,3,0,1,1,5,40,True,Apartment,0,,0,False,
8408931,,False,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,3,,,,0.012660640975946841,False,,0,8408931,False,False,False,True,False,False,False,False,37.79315633421722,,-122.40585702680936,0.5,1,1,1,13,19,True,Other,0,,70,False,
9033827,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,True,False,3,9,8,10,0.07058095876123491,False,87,0,9033827,True,False,True,False,False,False,False,False,37.72580704841174,10,-122.40380262115676,1.5,1,1,1,17,40,True,House,3,87,106,False,9
4932734,,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3,,,,0.11322596862182856,False,,0,4932734,False,True,False,False,False,False,False,False,37.715986641414176,,-122.47392608195445,0.5,1,1,1,18,40,True,Apartment,1,,39,False,
11611392,,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,3,,,,0.10927412884532027,False,,0,11611392,False,False,True,False,False,False,False,False,37.71411419911928,,-122.4662205265977,1,1,1,1,1,34,True,House,0,,14,False,
